,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
33,Isabela,20,PH,1579401478,79,6.71,121.97,84.2,6.93
34,Yulara,33,AU,1579401479,31,-25.24,130.99,89.6,12.75
36,Lakselv,4,NO,1579401479,72,70.05,24.97,18,35.57
37,New Norfolk,75,AU,1579401479,49,-42.78,147.06,73.99,17.22
39,Butaritari,78,KI,1579401480,76,3.07,172.79,84.92,14.2
40,Kapaa,75,US,1579401480,64,22.08,-159.32,78.8,21.92
41,Provideniya,0,RU,1579401480,97,64.38,-173.3,-7.82,5.32
42,Albany,90,US,1579401480,79,42.6,-73.97,28,10.29
43,Shimoda,75,JP,1579401481,53,34.67,138.95,50,12.75
44,Nong'an,90,CN,1579401481,85,44.38,125.17,17.6,4.47
45,Tuktoyaktuk,5,CA,1579401481,63,69.45,-133.04,-5.8,10.29
46,Broome,90,US,1579401481,85,42.25,-75.83,32,8.05
47,Katobu,97,ID,1579401482,70,-4.94,122.53,86.59,3.94
48,Coacoyul,68,MX,1579401482,62,17.81,-99.11,75,1.01
49,Hithadhoo,74,MV,1579401482,79,-0.6,73.08,82.96,13.24
50,Charyshskoye,100,RU,1579401482,85,51.4,83.56,21.45,8.39
51,Say,0,NE,1579401483,25,13.1,2.37,66.2,5.82
52,George Town,20,MY,1579401483,70,5.41,100.34,86,6.93
53,Anadyr,75,RU,1579401483,72,64.75,177.48,12.2,8.95
54,Ushuaia,75,AR,1579401483,87,-54.8,-68.3,48.2,19.46
55,Tiarei,40,PF,1579401483,66,-17.53,-149.33,86,6.93
56,Zhengjiatun,89,CN,1579401484,92,43.51,123.51,10.74,8.75
57,Taoru,0,IN,1579401484,100,28.22,76.95,46.4,9.17
58,Arraial do Cabo,25,BR,1579401484,79,-22.97,-42.03,75.13,11.23
59,Korem,0,ET,1579401484,62,12.51,39.52,47.8,1.41
60,Bengkulu,100,ID,1579401330,58,-3.8,102.27,87.44,2.24
61,Cardston,90,CA,1579401362,58,49.2,-113.3,-2,6.93
63,Kavaratti,92,IN,1579401298,77,10.57,72.64,80.85,12.28
64,Bonthe,0,SL,1579401289,90,7.53,-12.51,76.12,3.74
65,Isangel,75,VU,1579401486,70,-19.55,169.27,84.2,14.99
67,Shestakovo,100,RU,1579401486,93,56.49,103.96,-4.97,7.29
68,Nikolskoye,75,RU,1579401486,86,59.7,30.79,37.99,6.71
69,Celendin,100,PE,1579401487,92,-6.87,-78.15,54.5,0.22
70,Hermanus,100,ZA,1579401487,95,-34.42,19.23,64.99,1.99
72,Baghlan,100,AF,1579401487,19,36.13,68.71,33.64,6.51
73,Gamboula,0,CF,1579401488,40,4.12,15.14,65.8,1.05
74,Saskylakh,99,RU,1579401488,98,71.92,114.08,-12.3,4.79
75,Severo-Kuril'sk,94,RU,1579401488,85,50.68,156.12,18.09,9.22
76,Yellowknife,40,CA,1579401488,73,62.46,-114.35,-29,4.7
77,Asau,0,RO,1579401489,92,46.43,26.4,27,9.17
78,Nhulunbuy,40,AU,1579401489,56,-12.23,136.77,93.2,10.29
79,Linhares,100,BR,1579401489,87,-19.39,-40.07,73.72,4.47
80,Ribeira Grande,60,PT,1579401489,92,38.52,-28.7,61.57,15.43
81,Beatrice,1,US,1579401489,73,40.27,-96.75,24.01,5.82
82,Novosokolniki,100,RU,1579401490,89,56.35,30.16,33.89,6.69
84,Tubinskiy,90,RU,1579401490,92,52.89,58.22,24.8,6.71
85,Ostrovnoy,91,RU,1579401490,68,68.05,39.51,8.42,6.35
86,Esperance,90,AU,1579401491,55,-33.87,121.9,66.2,10.29
87,Chokurdakh,98,RU,1579401491,98,70.63,147.92,-17.23,0.76
88,Dawson,20,US,1579401491,77,31.77,-84.45,64.4,8.05
89,Jiangyan,0,CN,1579401491,59,32.51,120.14,51.01,1.01
90,Vammala,75,FI,1579401492,93,61.33,22.9,39.2,11.41
92,Greymouth,34,NZ,1579401492,84,-42.47,171.2,62.85,7.16
93,Quelimane,75,MZ,1579401492,88,-17.88,36.89,78.8,6.35
94,Seabra,13,BR,1579401253,89,-12.42,-41.77,63.72,11.1
95,Qaanaaq,59,GL,1579401493,61,77.48,-69.36,-16.24,5.28
96,Kualakapuas,99,ID,1579401493,55,-3.01,114.39,93.36,1.21
97,Baykit,100,RU,1579401493,97,61.67,96.37,-4.9,3.87
98,Riobamba,100,EC,1579401494,98,-1.67,-78.63,48.09,4.38
99,Astoria,90,US,1579401494,93,46.19,-123.83,50,3.36
100,Hambantota,20,LK,1579401494,100,6.12,81.12,75.2,6.93
101,Kumul,33,CN,1579401494,60,42.8,93.45,15.01,2.57
102,Husavik,100,IS,1579401495,69,66.04,-17.34,33.8,23.04
103,Houma,75,US,1579401495,100,29.6,-90.72,71.01,3.36
104,Samarai,9,PG,1579401495,50,-10.62,150.67,91.08,9.64
105,Kununurra,75,AU,1579401495,55,-15.77,128.73,91.4,8.05
106,Yanaul,71,RU,1579401496,97,56.27,54.93,20.35,4.74
107,Maumere,41,ID,1579401496,81,-8.62,122.21,81.77,7.65
108,Avera,90,US,1579401496,93,33.19,-82.53,62.6,3.36
109,Pinehurst,90,US,1579401496,87,35.2,-79.47,59,6.93
110,Korla,0,CN,1579401497,81,41.76,86.15,15.01,8.99
111,Mossamedes,100,AO,1579401497,86,-15.2,12.15,74.77,10.49
112,Sobolevo,28,RU,1579401497,94,54.43,31.9,26.64,6.67
113,Pasni,48,PK,1579401497,34,25.26,63.47,56.52,4.56
114,Verkhnevilyuysk,100,RU,1579401497,94,63.45,120.32,3.99,6.04
115,Pemangkat,67,ID,1579401248,79,1.17,108.97,81.68,3.11
116,Port Macquarie,90,AU,1579401488,94,-31.43,152.92,81,4.7
117,Sao Joao da Barra,9,BR,1579401498,88,-21.64,-41.05,72.68,10.33
118,Hamilton,90,US,1579401437,74,39.18,-84.53,41,24.16
119,Dikson,2,RU,1579401499,93,73.51,80.55,-17.86,4.92
120,Mount Gambier,100,AU,1579401499,68,-37.83,140.77,69.8,17.22
121,Riyadh,65,SA,1579401408,62,24.69,46.72,51.8,3.36
122,College,0,US,1579401499,74,64.86,-147.8,-0.4,2.48
123,Labuhan,36,ID,1579401500,67,-6.88,112.21,86.16,3.47
124,Port Alfred,100,ZA,1579401500,80,-33.59,26.89,66.99,5.01
125,Urusha,49,RU,1579401500,92,54.05,122.9,-10.12,0.72
126,Tilichiki,0,RU,1579401500,91,60.47,166.1,-7.82,3.96
127,Fortuna,90,US,1579401501,66,40.6,-124.16,55.99,5.82
128,Santa Maria,0,BR,1579401421,83,-29.68,-53.81,75.2,3.36
129,Maryville,90,US,1579401224,87,35.76,-83.97,50,14.99
130,Bafra,40,TR,1579401501,86,41.57,35.91,32,4.7
131,Villa Carlos Paz,70,AR,1579401502,73,-31.42,-64.5,80.01,3.36
132,Kodiak,90,US,1579401502,80,57.79,-152.41,35.6,16.11
133,Kendari,60,ID,1579401502,65,-3.94,122.5,87.49,4.29
134,Keizer,90,US,1579401502,93,44.99,-123.03,48.99,6.93
135,Saint Anthony,1,US,1579401503,64,45.02,-93.22,3.99,14.99
136,Pevek,100,RU,1579401503,95,69.7,170.31,-9.54,4.83
138,Prince George,75,CA,1579401243,84,53.92,-122.75,1.99,6.93
139,Tambura,86,SS,1579401504,26,5.6,27.47,66.36,1.81
140,Laas,57,IT,1579401504,84,46.62,10.7,19,1.12
141,Mananjary,100,MG,1579401504,87,-21.22,48.33,79.81,13.85
143,Saldanha,100,ZA,1579401505,68,-33.01,17.94,64.4,18.34
144,Alice Springs,100,AU,1579401309,40,-23.7,133.88,86,9.17
145,Touros,75,BR,1579401385,83,-5.2,-35.46,78.8,9.17
146,Champerico,2,GT,1579401505,79,14.3,-91.92,76.66,1.66
148,Port Blair,0,IN,1579401235,76,11.67,92.75,80.91,12.88
149,Torbay,75,CA,1579401313,78,47.67,-52.73,10.99,13.87
150,Lompoc,1,US,1579401363,81,34.64,-120.46,55.4,3.36
151,Bredasdorp,100,ZA,1579401507,77,-34.53,20.04,64.4,9.17
152,Tuymazy,99,RU,1579401507,97,54.61,53.71,28.08,4.94
153,Diego de Almagro,57,CL,1579401507,58,-26.37,-70.05,64.71,1.81
154,Pangnirtung,20,CA,1579401507,67,66.15,-65.71,-22,3.36
155,Sept-Iles,5,CA,1579401333,69,50.2,-66.38,-11,3.36
156,Kaitangata,100,NZ,1579401508,89,-46.28,169.85,68,15.01
157,Airai,38,TL,1579401508,53,-8.93,125.41,83.43,3.83
158,Akdepe,90,TM,1579401508,80,42.06,59.38,33.8,4.7
159,Cabo San Lucas,5,MX,1579401475,77,22.89,-109.91,71.01,3.76
160,Coahuayana Viejo,20,MX,1579401509,73,18.73,-103.68,75.2,2.39
161,Kumluca,55,TR,1579401509,63,36.37,30.29,42.48,4.34
162,Copiapo,75,CL,1579401509,77,-27.37,-70.33,66.2,9.17
163,Kilimatinde,100,TZ,1579401509,87,-5.85,34.95,66.94,1.23
164,Bentiu,0,SS,1579401510,30,9.23,29.83,63.79,5.55
165,Clyde River,40,CA,1579401510,67,70.47,-68.59,-27.4,14.99
166,Muroto,75,JP,1579401510,62,33.28,134.15,51.8,2.24
168,Dekar,0,BW,1579401511,70,-21.53,21.93,69.28,6.13
170,Barrow,90,US,1579401511,92,71.29,-156.79,10.4,16.11
171,Atuona,50,PF,1579401511,75,-9.8,-139.03,81.28,17.22
172,Yerbogachen,63,RU,1579401512,89,61.28,108.01,-4.86,9.01
173,Brigham City,1,US,1579401512,68,41.51,-112.02,30.99,4.23
174,Cape Town,40,ZA,1579401439,67,-33.93,18.42,64.99,18.34
175,Coos Bay,90,US,1579401512,100,43.37,-124.22,52,5.82
176,Berlevag,0,NO,1579401513,63,70.86,29.09,28.18,21.5
177,Tasiilaq,100,GL,1579401513,100,65.61,-37.64,30.2,53.02
178,Sao Desiderio,66,BR,1579401513,75,-12.36,-44.97,74.14,2.46
179,Stephenville,1,US,1579401513,48,32.22,-98.2,44.6,10.29
180,Santiago del Estero,100,AR,1579401280,67,-27.8,-64.26,79.7,6.13
181,Panguna,0,PG,1579401334,59,-6.32,155.48,84.61,5.55
182,Magistralnyy,61,RU,1579401514,84,56.17,107.45,0.41,2.08
183,Sinnamary,63,GF,1579401514,79,5.38,-52.95,80.08,17.38
184,Acapulco de Juarez,40,MX,1579401514,62,16.86,-99.89,84.2,8.05
185,Gorontalo,94,ID,1579401515,57,0.54,123.06,89.19,3.15
186,Hong Kong,40,HK,1579401515,68,22.29,114.16,64.99,9.17
187,Polyarny,40,RU,1579401515,67,69.2,33.45,-25.6,5.12
188,Sitka,90,US,1579401515,55,57.05,-135.33,35.6,16.11
190,Manokwari,21,ID,1579401516,74,-0.87,134.08,80.15,11.39
191,Mahebourg,75,MU,1579401516,94,-20.41,57.7,80.01,2.24
193,Kavieng,100,PG,1579401516,77,-2.57,150.8,84.45,23.17
194,Saint-Philippe,100,RE,1579401517,78,-21.36,55.77,80.6,3.36
196,Yar-Sale,85,RU,1579401517,77,66.83,70.83,-7.53,17.54
198,Longyearbyen,75,SJ,1579401518,68,78.22,15.64,26.6,14.99
199,Sao Jose da Coroa Grande,56,BR,1579401518,80,-8.9,-35.15,80.24,14.85
201,Lagoa,0,PT,1579401518,91,39.05,-27.98,63.95,23.87
202,Ponta do Sol,20,PT,1579401519,72,32.67,-17.1,62.6,10.29
203,Campo Alegre,75,BR,1579401519,94,-9.78,-36.35,77,5.82
204,Laguna,75,US,1579401519,61,38.42,-121.42,50,4.7
205,Ulladulla,67,AU,1579401224,64,-35.35,150.47,75.2,8.05
206,Thanh Pho Uong Bi,90,VN,1579401519,93,21.03,106.78,60.8,6.93
207,Batagay-Alyta,100,RU,1579401520,89,67.8,130.41,-20.61,4.16
208,Waingapu,0,ID,1579401520,75,-9.66,120.26,83.01,14.12
209,Naze,75,JP,1579401520,67,28.37,129.48,60.8,2.24
211,Salalah,40,OM,1579401521,56,17.02,54.09,71.6,5.82
212,Llanes,95,ES,1579401521,10,43.42,-4.75,51.01,25.01
213,Vanimo,0,PG,1579401521,81,-2.67,141.3,82.36,23.4
214,Ulaangom,100,MN,1579401521,85,49.98,92.07,-6.56,3.27
216,Lorengau,45,PG,1579401522,75,-2.02,147.27,84.2,24.74
217,Talnakh,40,RU,1579401522,75,69.49,88.4,-18.4,17.9
218,Vestmannaeyjar,100,IS,1579401522,92,63.44,-20.27,44.69,39.01
219,Camacha,20,PT,1579401523,82,33.08,-16.33,62.6,9.17
222,Assiut,0,EG,1579401387,67,27.18,31.18,45.23,8.34
223,Tiksi,100,RU,1579401523,89,71.69,128.87,-1.64,9.17
224,Faya,0,SA,1579401524,62,18.39,42.45,48.2,2.75
225,Ramsar,90,IR,1579401524,93,36.92,50.64,44.6,11.41
226,Montepuez,100,MZ,1579401524,96,-13.13,39,72.32,5.97
227,Lianhe,100,CN,1579401524,82,47.13,129.27,11.62,0.76
228,Lakes Entrance,67,AU,1579401525,76,-37.88,147.98,87.01,7
229,Los Llanos de Aridane,0,ES,1579401525,29,28.66,-17.92,66.2,11.41
230,Vao,0,NC,1579401525,75,-22.67,167.48,76.71,15.64
231,Bud,90,US,1579401525,73,39.45,-86.18,30.2,27.51
232,Anchorage,1,US,1579401365,70,61.22,-149.9,8.6,4.7
233,Eureka,90,US,1579401319,66,40.8,-124.16,55.99,5.82
234,Agadez,5,NE,1579401526,41,19.75,10.25,50.34,10.56
235,Ilulissat,100,GL,1579401526,59,69.22,-51.1,-0.4,8.05
236,Sur,25,OM,1579401526,58,22.57,59.53,63.21,5.37
237,Bambous Virieux,75,MU,1579401527,94,-20.34,57.76,80.01,2.24
238,Dowa,100,MW,1579401527,88,-13.65,33.94,67.14,12.75
240,San Patricio,40,MX,1579401527,83,19.22,-104.7,80.6,3.42
241,San Policarpo,69,PH,1579401528,85,12.18,125.51,79.48,1.97
242,Hobyo,42,SO,1579401528,76,5.35,48.53,74.66,15.48
243,Boca do Acre,62,BR,1579401528,97,-8.75,-67.4,74.37,2.01
244,Plettenberg Bay,100,ZA,1579401528,76,-34.05,23.37,63.14,15.61
245,Shirokiy,77,RU,1579401528,88,49.76,129.52,-1.35,1.97
246,Santa Cruz de la Sierra,33,BO,1579401529,83,-17.8,-63.17,80.6,4.7
248,Bosaso,45,SO,1579401440,72,11.28,49.18,75.15,14.47
249,Padang,100,ID,1579401529,65,-0.95,100.35,81.12,3.06
251,Sao Filipe,60,CV,1579401530,73,14.9,-24.5,71.19,1.92
252,Virginia Beach,90,US,1579401325,87,36.85,-75.98,55.99,16.11
253,Souillac,75,MU,1579401530,94,-20.52,57.52,80.01,2.24
256,Lebu,89,CL,1579401531,76,-37.62,-73.65,55.96,7.45
257,Luanda,40,AO,1579401531,78,-8.84,13.23,80.6,3.36
258,Burkburnett,1,US,1579401364,64,34.1,-98.57,41,11.41
259,Jurm,80,AF,1579401532,39,36.86,70.83,9.66,11.77
260,Lima,90,PE,1579401440,88,-12.04,-77.03,71.6,11.41
261,Grasse,50,FR,1579401532,93,43.67,6.92,46,5.82
262,Pakhtakoron,100,TJ,1579401532,31,40.16,68.75,31.37,3.89
263,Vastseliina,100,EE,1579401533,86,57.73,27.29,37.4,11.18
264,Potsdam,75,DE,1579401533,86,52.4,13.07,41,6.93
265,Guerrero Negro,0,MX,1579401298,49,27.98,-114.06,62.37,4.9
267,Tual,0,ID,1579401534,79,-5.67,132.75,83.48,11.23
268,Formosa,13,AR,1579401534,70,-26.18,-58.18,87.8,12.75
270,Bilaspur,0,IN,1579401431,67,22.08,82.15,67.12,5.28
271,Solnechnyy,0,RU,1579401535,88,50.72,136.63,2.01,3.71
272,Tateyama,75,JP,1579401535,53,34.98,139.87,54,12.75
273,Narsaq,100,GL,1579401535,47,60.92,-46.05,33.8,13.87
274,Povenets,97,RU,1579401535,99,62.85,34.83,31.41,2.19
275,Port Hardy,90,CA,1579401431,93,50.7,-127.42,41,21.92
276,Puerto Concordia,43,CO,1579401536,96,2.62,-72.76,73.22,1.81
277,Quisqueya,75,DO,1579401536,88,18.56,-69.41,73,4.7
278,Kodinar,0,IN,1579401536,42,20.79,70.7,59.92,15.52
279,Port-Gentil,75,GA,1579401536,77,-0.72,8.78,81.28,4.25
280,Ilhabela,100,BR,1579401537,80,-23.78,-45.36,75.72,18.1
281,Flinders,91,AU,1579401537,64,-34.58,150.86,75.99,8.05
282,Bo Rai,20,TH,1579401537,83,12.57,102.54,89.01,5.82
283,Tigzirt,44,DZ,1579401537,59,36.89,4.12,58.1,8.75
285,Leczyca,100,PL,1579401538,100,52.06,19.2,36,2.24
286,Moron,93,AR,1579401402,65,-34.65,-58.62,79,8.05
287,Bethel,100,US,1579401436,92,41.37,-73.41,37.99,5.82
288,Hasaki,20,JP,1579401539,52,35.73,140.83,50,4.7
289,Dmitriyevka,90,RU,1579401539,97,54.75,55.33,32,6.71
290,Farah,100,AF,1579401539,62,32.5,62.5,38.55,1.57
291,Chunskiy,0,RU,1579401539,92,56.08,99.63,-7.2,3.27
292,Murdochville,80,CA,1579401539,84,48.96,-65.5,-6.41,2.46
293,East London,100,ZA,1579401540,65,-33.02,27.91,68.76,9.66
294,Bowen,0,AU,1579401540,49,-20.02,148.23,93.2,8.05
295,Haines Junction,100,CA,1579401258,96,60.75,-137.51,-22.77,5.97
296,Gonder,0,ET,1579401540,43,12.6,37.47,55.94,4.34
297,Along,92,IN,1579401541,89,28.17,94.77,57.54,1.03
298,Traralgon,40,AU,1579401541,74,-38.18,146.53,82,5.01
300,Cockburn Town,76,TC,1579401352,72,21.46,-71.14,74.91,26.78
301,Cidreira,65,BR,1579401542,77,-30.18,-50.21,74.07,26.15
302,Itarema,80,BR,1579401542,83,-2.92,-39.92,78.37,6.04
303,Sioux Lookout,90,CA,1579401542,92,50.1,-91.92,17.6,5.82
304,Panvel,0,IN,1579401321,64,18.98,73.1,75.99,6.22
305,Kruisfontein,100,ZA,1579401543,77,-34,24.73,59.9,10.09
306,Kaeo,36,NZ,1579401543,54,-35.1,173.78,88,8.99
308,Sora,0,IT,1579401380,99,41.72,13.61,46,0.81
309,Faanui,100,PF,1579401544,79,-16.48,-151.75,81.81,15.61
310,Ust'-Uda,22,RU,1579401544,90,54.17,103.03,-6.12,5.41
311,Petropavlovsk-Kamchatsky,20,RU,1579401544,77,53.05,158.65,6.8,4.47
312,Avarua,100,CK,1579401544,88,-21.21,-159.78,82.4,11.41
313,Woodward,1,US,1579401545,43,36.43,-99.39,33.8,3.36
314,Fallon,1,US,1579401350,50,39.47,-118.78,36,8.05
315,Xiongzhou,100,CN,1579401545,60,25.12,114.3,47.25,4.32
316,Lobito,41,AO,1579401545,74,-12.35,13.55,77.76,0.92
317,Murgab,90,TM,1579401545,86,37.5,61.97,37.4,9.17
319,Codrington,100,AU,1579401546,94,-38.27,141.97,63.23,16.22
320,Leningradskiy,100,RU,1579401546,98,69.38,178.42,-9.26,6.17
321,Presidencia Roque Saenz Pena,46,AR,1579401546,55,-26.79,-60.44,83.43,5.82
322,Comodoro Rivadavia,0,AR,1579401547,33,-45.87,-67.5,75.2,9.17
323,Muscat,22,OM,1579401343,87,23.61,58.59,57.2,4.7
324,Fukuecho,75,JP,1579401547,87,32.69,128.84,48.2,4.7
325,Dwarka,0,IN,1579401547,52,22.24,68.97,67.24,21.72
326,Knysna,100,ZA,1579401548,100,-34.04,23.05,57.2,14.99
327,Musafir-Khana,0,IN,1579401548,81,26.37,81.8,57.07,6.33
328,Alofi,100,NU,1579401548,82,-19.06,-169.92,82.31,37.16
329,Ukiah,1,US,1579401548,75,39.15,-123.21,48,3.36
331,Tuatapere,100,NZ,1579401549,70,-46.13,167.68,64,5.26
332,Port Elizabeth,75,ZA,1579401549,88,-33.92,25.57,62.6,1.12
333,Vardo,92,NO,1579401549,72,70.37,31.11,27.55,17.81
334,Namatanai,100,PG,1579401549,81,-3.67,152.43,81.66,11.77
335,Saint George,1,US,1579401479,39,37.1,-113.58,46,3.36
336,Sangar,100,RU,1579401550,92,63.92,127.47,-15.5,10.22
337,Mogadishu,55,SO,1579401550,76,2.04,45.34,79.39,22.26
338,Abu Kamal,53,SY,1579401551,72,34.45,40.92,47.32,5.06
339,Iqaluit,40,CA,1579401551,68,63.75,-68.51,-18,7.87
340,Sorland,98,NO,1579401551,74,67.67,12.69,40.26,16.58
341,Caxito,40,AO,1579401551,78,-8.58,13.66,80.6,3.36
342,Rome,90,US,1579401552,100,43.21,-75.46,34,10.29
343,Yatou,0,CN,1579401552,47,37.15,122.38,39.07,16.84
344,Raton,1,US,1579401552,63,36.9,-104.44,35.6,6.93
345,Sungaipenuh,98,ID,1579401552,70,-2.08,101.38,74.8,2.73
346,Maragogi,56,BR,1579401553,80,-9.01,-35.22,80.24,14.85
347,Kapuskasing,90,CA,1579401553,84,49.42,-82.43,8.6,11.41
349,Dunda,100,TZ,1579401553,95,-8.12,34.25,64.2,1.25
350,Khovd,5,MN,1579401553,71,48.01,91.64,1.08,1.01
351,Morondava,100,MG,1579401554,95,-20.28,44.28,75.83,3.89
352,Baglung,0,NP,1579401554,30,28.27,83.59,34.79,3.02
353,Greensburg,90,US,1579401554,81,40.3,-79.54,46.99,17.22
354,Coquimbo,90,CL,1579401554,88,-29.95,-71.34,62.6,4.7
355,Ende,7,ID,1579401555,76,-8.84,121.66,83.89,14.23
356,Vila,75,PT,1579401555,100,42.03,-8.16,53.01,3.36
357,Tahta,0,EG,1579401556,80,26.77,31.5,41.11,4.54
358,Hualmay,67,PE,1579401556,86,-11.1,-77.61,67.35,3.24
359,Bay Roberts,75,CA,1579401556,78,47.6,-53.26,10.99,13.87
360,Abu Samrah,73,SY,1579401556,90,35.3,37.18,45.1,6.76
361,Provincia di Mantova,40,IT,1579401557,87,45.17,10.78,44.01,4.7
362,Bandarbeyla,0,SO,1579401557,73,9.49,50.81,76.37,19.64
363,Vila Velha,75,BR,1579401557,78,-20.33,-40.29,77,14.99
364,Fairbanks,0,US,1579401558,74,64.84,-147.72,-25.6,3.38
365,Navolato,20,MX,1579401558,73,24.77,-107.69,72,2.95
366,Castro,78,BR,1579401558,93,-24.79,-50.01,60.03,7.92
367,Krasnoarmeyskoye,97,RU,1579401559,97,52.72,50.03,28.18,5.66
368,Upernavik,0,GL,1579401559,64,72.79,-56.15,-12.68,6.33
369,Swellendam,100,ZA,1579401559,77,-34.02,20.44,64.4,9.17
370,Buin,75,CL,1579401559,44,-33.73,-70.75,75.2,13.87
371,Inuvik,5,CA,1579401560,63,68.35,-133.72,-5.8,10.29
372,Boende,100,CD,1579401560,78,-0.22,20.87,73.2,4.14
373,Thinadhoo,57,MV,1579401560,80,0.53,72.93,82.72,13.65
375,Yuzhno-Kurilsk,95,RU,1579401560,64,44.03,145.86,26.42,2.89
376,Sao Felix do Xingu,91,BR,1579401561,80,-6.64,-51.99,74.68,2.35
377,Norman Wells,5,CA,1579401561,76,65.28,-126.83,-11.2,4.7
378,Nuevo Progreso,60,MX,1579401561,96,23.17,-97.95,70,1.01
379,Huarmey,95,PE,1579401561,83,-10.07,-78.15,67.8,3.27
380,Pulandian,0,CN,1579401562,37,39.4,121.97,46.99,11.18
381,Imbituba,40,BR,1579401562,78,-28.24,-48.67,73.4,3.36
382,Bubaque,26,GW,1579401562,59,11.28,-15.83,77.05,5.3
383,Launceston,72,AU,1579401562,35,-41.45,147.17,77,11.41
385,Cayenne,90,GF,1579401563,78,4.93,-52.33,80.6,8.05
386,Nanortalik,100,GL,1579401563,93,60.14,-45.24,30.02,8.48
387,Buchanan,20,LR,1579401563,94,5.88,-10.05,77,1.66
388,Santa Rosa,40,PH,1579401563,69,14.31,121.11,84,4.7
389,Julfa,90,AZ,1579401326,100,38.96,45.63,26.6,4.7
390,Araouane,47,ML,1579401564,20,18.9,-3.53,60.96,12.37
391,Nieuw Amsterdam,0,SR,1579401564,94,5.88,-55.08,77,3.36
392,Bilibino,100,RU,1579401564,99,68.05,166.44,-15.79,3.15
393,Pombas,86,CV,1579401565,77,17.15,-25.02,69.8,17.22
394,Monrovia,20,LR,1579401565,94,6.3,-10.8,77,5.28
396,Tiznit,0,MA,1579401565,30,29.58,-9.5,50.58,1.01
397,Chui,24,UY,1579401566,79,-33.7,-53.46,66,9.04
398,Pontian Kecil,75,MY,1579401566,74,1.48,103.39,86,6.93
399,Mecca,100,SA,1579401566,65,21.43,39.83,64.36,6.17
400,Moose Factory,90,CA,1579401566,77,51.26,-80.61,5,5.82
401,Ketchikan,90,US,1579401567,94,55.34,-131.65,37.4,29.97
402,Otradnoye,75,RU,1579401567,86,59.78,30.82,37.99,6.71
403,Weihai,0,CN,1579401543,58,37.5,122.11,36.64,20.54
404,Manta,75,EC,1579401567,78,-0.95,-80.73,80.6,8.05
405,Almaznyy,75,RU,1579401568,82,48.04,40.05,32,6.71
406,Cacu,100,BR,1579401568,94,-18.56,-51.13,72.05,1.81
407,Mesetas,63,CO,1579401568,87,3.38,-74.04,67.41,4.52
408,Naron,40,ES,1579401568,93,43.52,-8.15,52,9.17
409,Kieta,0,PG,1579401505,71,-6.22,155.63,84.9,9.1
410,San Cristobal,40,VE,1579401569,78,7.77,-72.22,78.8,4.7
411,Katsuura,20,JP,1579401569,52,35.13,140.3,54,8.05
412,Griffith,90,US,1579401492,72,41.53,-87.42,15.8,25.28
413,Cotonou,20,BJ,1579401569,94,6.37,2.42,80.6,2.24
414,La Sarre,100,CA,1579401570,92,48.8,-79.2,5.63,7.87
415,Aktobe,90,KZ,1579401570,92,50.28,57.21,24.8,4.47
416,Banjar,40,ID,1579401570,79,-8.19,114.97,86,9.17
417,Saint-Pierre-des-Corps,34,FR,1579401570,86,47.38,0.73,37.4,6.93
418,Ayagoz,100,KZ,1579401571,84,47.97,80.44,5.77,1.99
